execucao_global,run,crypto_mode,status,delivered,source,destination,path,hops,protocol,crypto_backend,crypto_algorithm,original_payload_size_bytes,protected_payload_size_bytes,payload_size_bytes,crypto_overhead_bytes,crypto_time_seconds,crypto_energy_cost,duration_seconds,total_energy_consumed,link_latency_ms,link_packet_loss_percent,link_packets_transmitted,link_packets_received,link_rtt_min_ms,link_rtt_avg_ms,link_rtt_max_ms,link_rtt_mdev_ms,erro
75,15,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.006983,0.011073,0.008242,0.551073,13.033,0.0,3,3,9.564,13.033,19.942,4.884,
76,16,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.006244,0.010334,0.007282,0.550334,12.942,0.0,3,3,9.516,12.942,19.752,4.814,
77,17,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.00661,0.0107,0.007831,0.5507,12.891,0.0,3,3,9.539,12.891,19.588,4.735,
78,18,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.005122,0.009212,0.005614,0.549212,13.056,0.0,3,3,9.463,13.056,20.139,5.008,
79,19,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.005342,0.009432,0.005798,0.549432,13.006,0.0,3,3,9.399,13.006,20.118,5.028,
80,20,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.00671,0.0108,0.007946,0.5508,12.913,0.0,3,3,9.379,12.913,19.863,4.914,
81,21,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.00673,0.01082,0.007982,0.55082,13.004,0.0,3,3,9.556,13.004,19.821,4.819,
82,22,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.00518,0.00927,0.005618,0.54927,13.031,0.0,3,3,9.507,13.031,20.073,4.978,
83,23,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.006836,0.010926,0.008116,0.550926,12.849,0.0,3,3,9.402,12.849,19.718,4.856,
84,24,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.002098,0.006188,0.002471,0.546188,12.947,0.0,3,3,9.47,12.947,19.83,4.867,
